,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Flow Duration,1.0,0.000822128587917658,0.0012183735431100914,0.00037554298513588035,0.0007942771619408817,0.00488537082642753,0.00015843052613166825,0.002237069954943533,0.013939943911657886,0.009719594401249332,0.012140347021656442,-0.0008225817546844259,-0.00231799903132158,0.5429790832716654,-0.7158752109372306,-0.49869143319565723,0.8149277443450393,0.9999768387665418,0.5430822902473651,-0.7158635819988648,-0.49871571940785603,0.8149417218314892,0.03896215951158095,0.017668985312112556,0.02588086035068665,0.027471667854991645,0.00709461873621154,0.0007606229821466124,5.727035176812268e-05,9.393799892824748e-05,-0.00193509260579489,-0.0022447341501822997,0.011996926403784353,0.009438007947576137,0.01067455677633569,0.0052071207176758345,0.0005506102303431197,-0.002915408599864403,0.00798914537084673,0.00015843052613166825,0.009719594401249332,0.000822128587917658,0.00037553928671060283,0.0012183735431100914,0.0007942703882508801,0.0074168136356793915,-0.0068005152751387824,0.0006336355967282755,8.599595748510006e-05,0.006452046606793725,0.007741704370018595,0.009728310716141202,0.004316079960726874,-0.6672806323824421,-0.6685220231919184,-0.6846356404632145,-0.15982579303092628
Total Fwd Packets,0.000822128587917658,1.0,0.9782162155383004,0.13606875538068997,0.9854871480603213,0.010267919997537202,0.00042006580400891095,0.0012749302086135672,0.053170336777780464,0.05310940678146516,0.020864640810429477,0.0018362039978989345,-0.0013663081694029384,-0.00016716084575149365,0.0002990183529726267,0.00041816328169516474,-0.0003343498150986809,0.0007804624775574268,-0.00015433290099282362,0.00031819938840292166,0.0003910821841654831,-0.0003370211369492936,0.02651426085457121,0.0003074312217782593,0.004041012293846067,0.011351841368150619,-0.0010753815723068111,0.0035655500900538288,0.00032863641985100784,0.0008081527586253778,-0.0011557620087512817,-0.0012703430327332575,0.044706452705297224,0.05009487556261465,0.03161160320398039,0.021345713457406067,0.004493920151358476,-0.003184664553665868,0.04755172273612859,0.00042006580400891095,0.05310940678146516,1.0,0.13606944142569014,0.9782162155383004,0.9854805702590862,0.0007987172167576713,0.0006376356215450959,0.8779265361362555,2.649541318203095e-07,0.02038294262735734,0.009598387846435139,0.020886269017985154,0.019595804443958507,0.0005228592853252986,0.00035831037491681214,0.0004423762267768494,0.00088187830720258
Total Backward Packets,0.0012183735431100914,0.9782162155383004,1.0,0.07078946122076686,0.9882903397455254,0.009793772724568762,-0.00169176240009681,-0.00024711855009185943,0.05567332222943062,0.06766889767817041,0.019080095394469407,0.0018106654834354505,-0.0015378607480233926,-0.00020247572887122745,-1.4627944897663274e-05,0.00013731408299210305,-3.847114921691528e-05,0.0011184545157862681,-0.0001941285956370948,6.50038936649028e-06,7.008920161209319e-05,-4.1167958007756546e-05,0.03142005332704861,-0.0004935110919805375,0.0033065122672946063,0.01639893439701696,-0.0011763099563967833,0.00561064035913184,0.0005413707798393598,0.0008692644982803441,-0.0013781113387026425,-0.0011374053508200546,0.04623809920869243,0.06886877721444767,0.034582404731819325,0.022726161615778097,0.007043611630027339,-0.003035984144695962,0.06560668258458842,-0.00169176240009681,0.06766889767817041,0.9782162155383004,0.07079002071925745,1.0,0.9882844118497108,-0.00043282042047764846,-0.0019469686766877983,0.8415474949118318,4.099675896398255e-05,0.025699045802947518,0.008937054225284166,0.024844175067977804,0.026155295820544214,0.0003262640124084564,4.182230152983558e-05,0.00013879636540513178,0.0012946023188595006
Fwd Packets Length Total,0.00037554298513588035,0.13606875538068997,0.07078946122076686,1.0,0.03749232559128851,0.049093473107810724,0.05118437469444829,0.029465130852274507,0.010868465938964374,0.007216988996640591,0.0076486589993261895,0.001283975023636123,-0.001055189928200192,-0.00012933775312818277,9.515465902275235e-06,2.702097005477678e-05,-2.6860035463164828e-05,0.00037649548561008423,-0.00011203245943659731,3.248786987200569e-05,3.088407576738188e-05,-2.8938651450936377e-05,0.010177975421014084,0.0006561372900466167,0.005073506526122424,0.006410961117492812,-0.0008623180376980572,0.0004476086328469613,-7.142846440537153e-05,4.5007868435763424e-05,-0.0008806059111169674,-0.0010249451878426533,0.03858727307345271,0.02688052347277481,0.026403204942240386,0.04066086362997066,0.0018480026444392165,-0.0006491517124430703,0.02604419296085397,0.05118437469444829,0.007216988996640591,0.13606875538068997,0.9999999827001333,0.07078946122076687,0.03749307304796539,0.00204647941834638,0.0036049639783765682,0.1590633787880863,1.4256698068273473e-05,0.009660084341661348,0.017889468881374184,0.019263685083324975,0.00474634359690365,6.998070417011873e-05,3.3071654767004934e-05,3.174297412728554e-05,0.00023327862147536107
Bwd Packets Length Total,0.0007942771619408817,0.9854871480603213,0.9882903397455254,0.03749232559128851,1.0,0.005476960960429118,-0.0033626282328993538,-0.002115884484776974,0.048314079122585084,0.053735723491008074,0.014635142850483873,0.002057949588817414,-0.0007529188587282835,-0.00011042560703903128,-1.9862565758562134e-05,8.175766098576802e-05,-1.9234807313794817e-05,0.0007268593384844105,-0.00011489683801489717,-1.0491227466401038e-05,3.5388621691126877e-05,-2.109774356788436e-05,0.020201717511505474,-0.001260001641502316,-3.752495064032298e-05,0.008952192251877612,-0.0007547340608624036,0.004176947931775815,0.0005698364993222216,0.0009277315469820419,-0.0006845122351822188,-0.0005210764222748545,0.039582656143778316,0.052641205850373504,0.02676130951831663,0.020377355173173652,0.004710051371884638,-0.0017984460752762676,0.05026236595547347,-0.0033626282328993538,0.053735723491008074,0.9854871480603213,0.03749289182094761,0.9882903397455254,0.9999998558147389,-0.0005147724171937211,-0.0026805880681990343,0.8618688703454387,4.156867890995759e-05,0.018892798422596432,0.004862822671617943,0.017102656353457067,0.019911591319228206,0.00018520838108937335,2.3523538307323208e-05,7.918942544116219e-05,0.0007360456763960211
Fwd Packet Length Max,0.00488537082642753,0.010267919997537202,0.009793772724568762,0.049093473107810724,0.005476960960429118,1.0,0.8747989630788642,0.9656897436021311,0.3194523589596082,0.1799200736559184,0.3649254671124147,0.007092483552303978,-0.051447376735356376,-0.006227511716075601,0.0004357670272210572,-0.0003197501716065215,-0.001309724745707447,0.005017502681283223,-0.0052360424983218445,0.0015792339522986642,-7.514496119821396e-05,-0.0014089258737061397,0.18115998617325854,0.034873339965886936,0.22225090651636942,0.18571676579924296,-0.041315748306148876,-0.05713173514373247,0.001818613370400509,0.0024349865196262345,-0.042742977201880084,-0.050687321057215635,0.7773921947839624,0.504860009101325,0.7495106214210377,0.6265907690645539,-0.06627581007606832,-0.017095374771045196,0.5079044110169584,0.8747989630788642,0.1799200736559184,0.010267919997537202,0.049094073026594236,0.009793772724568762,0.00547714712334235,0.20879196808702116,0.27285236092079,0.007828569410836686,0.0025142920566464323,0.02256411103802762,0.01797359754858808,0.03556652329029624,0.02081507596581606,-0.00020274454682904684,0.0010304047456877615,-0.00014913335550377745,-0.00176606570379328
Fwd Packet Length Mean,0.00015843052613166825,0.00042006580400891095,-0.00169176240009681,0.05118437469444829,-0.0033626282328993538,0.8747989630788642,1.0,0.8742102282439007,0.14246057268921325,0.06756096851971112,0.18724925244540733,0.031197726512056972,-0.04175157706520744,-0.00597895231327472,0.00034798989928997467,-0.0006187605037458001,-0.0012380062057211147,0.00024883743480847386,-0.005113775594260181,0.001278590096011474,-0.0004245682939072023,-0.0012503943218954245,0.0597405372923538,0.026228347314133652,0.18387530932368884,0.15024032551399644,-0.021123122871192293,-0.004538902682113765,0.0006829157328248986,0.0012898329547789892,-0.034526738083102096,-0.041818893641829974,0.6273202313677257,0.4779673569409138,0.6383409725347813,0.5977734710275404,-0.013077722194899626,0.017667579320361153,0.5002213222984753,1.0,0.06756096851971112,0.00042006580400891084,0.05118447515274378,-0.0016917624000968097,-0.0033626134517963937,0.10956399267364131,0.16556838407920962,0.001935690670857371,0.0007475294176715455,0.02022820454705413,0.004701983486314555,0.02156614593683249,0.021910333512769477,-0.0010130881589758018,0.0013005295043573802,-0.00040700525468343466,-0.005518023696490469
Fwd Packet Length Std,0.002237069954943533,0.0012749302086135672,-0.00024711855009185943,0.029465130852274507,-0.002115884484776974,0.9656897436021311,0.8742102282439007,1.0,0.23018201316236678,0.11733591595046541,0.30674646490009344,0.016103456961674433,-0.04471816089344895,-0.005815344180485458,0.00035511172092794616,-0.0004685241844641523,-0.0012111271690615497,0.0023697709162808383,-0.004946056625804161,0.0014878473234067715,-0.00023264369964882077,-0.0013203842833123057,0.11159690263984128,0.020424943919235227,0.19422495653709085,0.15136022065397553,-0.04143473650607399,-0.04865480336107703,0.0019637716938864513,0.0025287525678133966,-0.03652188971777343,-0.04644990350418069,0.7163528662793861,0.45082924312066297,0.722364971624464,0.6260683544188479,-0.05464565040541972,-0.006064848278543952,0.45716917604396073,0.8742102282439005,0.11733591595046541,0.0012749302086135677,0.02946551031914622,-0.00024711855009185927,-0.002115869101289153,0.23338163984692073,0.22727604054416448,0.0011963589089346199,0.002796258505805044,0.012440882701431948,0.007511890894032005,0.020046072076772312,0.012877650530162913,-0.0008621157899764827,0.0010528023235414458,-0.0004074578788679048,-0.004510533211167182
Bwd Packet Length Max,0.013939943911657886,0.053170336777780464,0.05567332222943062,0.010868465938964374,0.048314079122585084,0.3194523589596082,0.14246057268921325,0.23018201316236678,1.0,0.8069824339622792,0.9398909882930511,-0.017817552974402958,-0.07239576196072194,-0.007924441643912941,0.0005119581759420989,0.00022810459991245223,-0.0016610942387529398,0.013808519000815391,-0.006889981233513154,0.0015112333348497018,0.0002884052751041829,-0.0017604183535207597,0.415435368469085,0.05559059122713204,0.28172779035258494,0.2806925888182142,-0.04776810146314673,-0.12256474511126907,0.002249841350319989,0.0026805776471123944,-0.0618859981095275,-0.06472017361061826,0.8079131332094944,0.7040609072118706,0.7603886866266033,0.30442429263130255,-0.05973877733154134,-0.148738867328997,0.6776115004603394,0.14246057268921322,0.8069824339622792,0.053170336777780464,0.010868662825137819,0.05567332222943062,0.048314141563449514,0.10596744515727888,0.30689970924772614,0.037377279164296465,0.0031271244805748943,0.03661845602395937,0.05109003304971822,0.07008534259501177,0.025717396556685604,0.0017996788462842435,-0.00041639676552475446,0.00034028983962901136,0.009332012008902432
Bwd Packet Length Mean,0.009719594401249332,0.05310940678146516,0.06766889767817041,0.007216988996640591,0.053735723491008074,0.1799200736559184,0.06756096851971112,0.11733591595046541,0.8069824339622792,1.0,0.7598134581250203,-0.011166306980575793,-0.06609907768681055,-0.007965880284017589,0.0001807788890662877,0.00023807547338475048,-0.0015962065919845666,0.00955858207394045,-0.007134116355732399,0.0010866833673577373,0.00023496730515339424,-0.0016133171754376132,0.2982374242494123,0.01077025640043715,0.1814072968070286,0.23908390571940544,-0.029734334925771603,-0.10863006860587805,0.0013905066895068701,0.0012572054278634373,-0.05751098690529364,-0.05533105244856472,0.6462825736070962,0.873016097991279,0.7204000372716917,0.3231275139487516,-0.002936857379999834,-0.14308930431105218,0.8580282071615228,0.06756096851971112,1.0,0.05310940678146516,0.007217145115101032,0.06766889767817041,0.05373584130388884,0.07428184425384178,0.061356698425054715,0.03096626582577473,0.0018246893623844749,0.04074972421665835,0.05108034546047573,0.0708497418999853,0.029616546175244608,0.0010341960288284325,-0.00035906532430600695,4.555354825576394e-05,0.006124469424587228
