,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Flow Duration,1.0,0.846236304173519,-0.06310775062649583,-0.0058708247464032805,-0.1370632630159611,-0.04546045038406363,-0.056237969188691735,-0.09554473078467854,-0.11583551979906806,-0.061462877505997555,-0.07350450312620932,-0.02367213227772194,-0.0030482462449901745,0.7992333885956638,0.9219931553977255,0.9475322932684265,0.010674352127611978,0.9970838541315139,0.8004985254700041,0.944455022265403,0.9509805842575244,0.014898881617827106,0.09923827045759101,0.0896163990837063,0.08110774063682932,0.08375512506623228,0.015555309477633375,-0.00019683780995156545,-0.17617917747986758,-0.07096302711368851,-0.002847606082407873,-0.0032462417262476726,-0.04691185435384145,-0.08695675528541469,-0.08547737861374495,-0.0031717119788998724,-0.00019683780995156545,-0.001578561787049409,-0.09711174635151223,-0.056237969188691735,-0.061462877505997555,0.846236304173519,-0.0058708247464032805,-0.06310775062649583,-0.1370632630159611,-0.3848759121035549,-0.02128461461505404,-0.07556851923237336,-0.775502942188674,0.8246109043695675,0.5858351212810221,0.7452454098628021,0.8022782492888166,0.9691127925716209,0.27391884508319597,0.9473975721897162,0.9700346089374452
Total Fwd Packets,0.846236304173519,1.0,-0.016149769043764396,0.2021165483427522,0.08221659340130848,0.14545369996400495,0.1286576424533443,0.056593940287687085,0.07706210469901036,0.12397460920804294,0.11291462464142,0.024759183518513226,-0.020005046507342812,0.5104390185871189,0.6810597282039282,0.773104537658617,-0.0042137141868477165,0.8490160444468118,0.5259215650872392,0.7170928921326125,0.7885357013738937,-0.0039425169288852995,0.006480682569635048,0.0015492951170250299,-0.00015046070440933093,0.0009332718570979659,5.925851198827524e-05,-0.00399424042892436,0.16109776182606853,-0.029680738565407587,-0.019684160167333063,-0.020307426284411328,0.1691412691385192,0.13621175800010082,0.13806328668975354,0.19907187996462058,-0.00399424042892436,-0.03791838191949217,0.12561395680789345,0.1286576424533443,0.12397460920804294,1.0,0.2021165483427522,-0.016149769043764396,0.08221659340130848,-0.294493625102447,0.05688804394116147,0.20187235910865253,-0.6992926470650219,0.7057944135856586,0.5025597438264151,0.6356510131212775,0.6839334447652982,0.8040492848584575,0.14051413747165456,0.7728410964121555,0.8196488990140589
Total Backward Packets,-0.06310775062649583,-0.016149769043764396,1.0,0.36000605678963254,-0.002278846974825869,0.36946642126110263,0.3794798172600896,0.374001386826146,-0.06844261155592032,-0.16954372255610795,-0.15577076644507035,0.08243474564753966,-0.014371663760451906,-0.05253398371445409,-0.05975737695168611,-0.060742103502643564,-0.03094740365671077,-0.06358061832927953,-0.05735138212402028,-0.061643183806557436,-0.06213918739855406,-0.024948511732851144,0.004647353862034395,-0.0076918436515804114,0.0012768497013296433,0.0009082265016669956,-0.029694092401521554,-0.004408162063171869,0.11238873843127992,0.9987341227554734,-0.029253669032114585,0.000541090673969486,0.36840126462631156,0.28757969614720846,0.3221045210859841,0.3466984114021137,-0.004408162063171869,-0.04530086235829164,0.2764427410408483,0.3794798172600896,-0.16954372255610795,-0.016149769043764386,0.36000605678963254,1.0,-0.002278846974825869,0.17317814884851476,0.16643978168584656,0.22635973053521322,0.048742133818148396,-0.04936328924885196,-0.033748914443114265,-0.043140776563397785,-0.0480615411154546,-0.062415692666800776,-0.014028666053605887,-0.06046443518028582,-0.06309868741649242
Fwd Packets Length Total,-0.0058708247464032805,0.2021165483427522,0.36000605678963254,1.0,0.13447038416450197,0.9458961587861076,0.9427920830951533,0.8568326611435164,-0.0022713458468352626,-0.029880462770189697,-0.030992890684184995,0.28131692308884104,-0.0025403466110750423,-0.006005289125957792,-0.005894878188347872,-0.005097031048524061,-0.0035624432191161707,-0.005847687704952298,-0.007220276674240625,-0.0051758896449514485,-0.005014660672301611,-0.009704661468397319,0.0029903507841716028,-0.0035016523707774787,0.0008890636841969064,0.004137770752293697,-0.010244636901939722,-0.0004966632838347224,0.549756192216874,0.35688811751986,-0.003266467961314454,-0.0018109895085537766,0.9532360411858836,0.9126016746107295,0.9356535169490322,0.98197625369052,-0.0004966632838347224,-0.005750871607282248,0.898978167486633,0.9427920830951533,-0.029880462770189697,0.2021165483427522,1.0,0.36000605678963254,0.13447038416450197,0.01720721228338232,0.019205471341018458,0.8418896002508036,0.0011541274361620438,-0.0051261753952865485,-0.0034943039160913675,-0.004544300210995624,-0.005046132247629821,-0.006097196666084932,-0.0013618087122076344,-0.005905181373054169,-0.006165378654294429
Bwd Packets Length Total,-0.1370632630159611,0.08221659340130848,-0.002278846974825869,0.13447038416450197,1.0,0.08179033495119166,0.04557578022694979,-0.019534812583853842,0.9878171252635704,0.9483585517158032,0.960873721701917,0.01088320425364388,-0.061368887141816375,-0.12451799436215731,-0.13257669109390433,-0.13237367458743654,-0.07080305999079263,-0.1371930308953925,-0.15329719950721718,-0.12870007941227007,-0.13407307621080697,-0.18463964730754018,-0.027996614058494906,-0.063641910505476,-0.0028411459852035565,-0.024556240821308355,-0.19271961039410224,-0.01600475722008765,0.6919706093032821,-0.025470219536018798,-0.06577294292469217,-0.05690183599688537,0.20323367983037013,0.250362060498087,0.25406352882789185,0.1406537595579204,-0.01600475722008765,-0.12280277242375105,0.26215690977309125,0.04557578022694979,0.9483585517158032,0.08221659340130849,0.13447038416450197,-0.0022788469748258777,1.0,0.3760980918481504,0.45204475165878905,0.5011570570492345,0.03901024284840888,-0.10713282736574328,-0.07317395360274673,-0.09412283509381657,-0.10473611408973986,-0.13268790255428886,-0.029751184833316627,-0.12852811590191937,-0.1341523798476139
Fwd Packet Length Max,-0.04546045038406363,0.14545369996400495,0.36946642126110263,0.9458961587861076,0.08179033495119166,1.0,0.9701239183488015,0.9432220443660285,-0.0603775814052903,-0.1138600467431545,-0.10832437687361578,0.26303458602432217,-0.020167957002185762,-0.04278376918782416,-0.044397987372392846,-0.04331708243540556,-0.02407349056608195,-0.045681149092056526,-0.055460469526864634,-0.04336860880992796,-0.04430290679833868,-0.0702220361805249,-0.00659266021791416,-0.02299695511448994,0.0022257431407420487,-0.002025130991064696,-0.07423276330599612,-0.0034359983401088525,0.4870786516832904,0.3746649860675011,-0.02393611385140551,-0.01637641726174663,0.9906356516680386,0.9328017715346568,0.9630521576664608,0.9465345627391126,-0.0034359983401088525,-0.04161163077192216,0.9254953330819955,0.9701239183488015,-0.1138600467431545,0.14545369996400495,0.9458961587861076,0.36946642126110274,0.08179033495119167,0.12478726928993386,-0.07718768358246379,0.8031647606694995,0.008389324491228183,-0.03697304073187068,-0.0252153173481917,-0.03274416436291842,-0.03636181535426714,-0.04402556337362932,-0.0098748267053201,-0.042645729517715,-0.044510433321222044
Fwd Packet Length Mean,-0.056237969188691735,0.1286576424533443,0.3794798172600896,0.9427920830951533,0.04557578022694979,0.9701239183488015,1.0,0.9606634462807654,-0.10030809160749816,-0.1630137360804301,-0.15547483630118056,0.2637603961259184,-0.023867085197043413,-0.05308173586694343,-0.054901069766651836,-0.05360473258542063,-0.029552362575289814,-0.056524225734587666,-0.06949389947114522,-0.05394677469475197,-0.05492177821759544,-0.08624560284949856,-0.011844466049477285,-0.029586661737059494,0.001923634535978238,-0.004293635556954249,-0.09130902419654151,-0.0007293275543196209,0.46198541310970787,0.38785972392596835,-0.0286011174162732,-0.01910506398679819,0.9522987609249406,0.963157396004326,0.9707624037263309,0.9196134701901222,-0.0007293275543196209,-0.04873035771388136,0.9574408251904303,1.0,-0.1630137360804301,0.12865764245334432,0.9427920830951533,0.37947981726008956,0.04557578022694979,0.15202131587390827,-0.11539139579473816,0.7978019307808802,0.010111448571277085,-0.04719951998599967,-0.032144106772274465,-0.04213497715488933,-0.04670314572526023,-0.054187961048802996,-0.012130907216647788,-0.05248573569687031,-0.054788578812729236
Fwd Packet Length Std,-0.09554473078467854,0.056593940287687085,0.374001386826146,0.8568326611435164,-0.019534812583853842,0.9432220443660285,0.9606634462807654,1.0,-0.1656709298469089,-0.2520748752628603,-0.23774018687728468,0.23467130231896047,-0.04295351966302141,-0.08957697461329193,-0.0931401856766762,-0.09163290521412547,-0.04985537051125611,-0.09608495294283656,-0.11754662256209963,-0.09200898694820897,-0.0940472947153981,-0.146194421822379,-0.022144883331415025,-0.04902173280032291,0.0030239155445042827,-0.011172922599320527,-0.15473458159418066,-0.009448852127246743,0.3567137700719285,0.3911756214334307,-0.05073560376118306,-0.03512191591175699,0.9069012496957882,0.9014765052956505,0.9314747530814947,0.8538920671879252,-0.009448852127246743,-0.08857364563120657,0.9027310239781939,0.9606634462807654,-0.2520748752628603,0.056593940287687106,0.8568326611435164,0.374001386826146,-0.01953481258385388,0.2600893924454238,-0.22046661641073362,0.6971217204784332,0.017261876322656487,-0.07890630276935039,-0.053765922699021786,-0.0702411053621221,-0.07790673324804565,-0.09176665195677197,-0.020564497325647246,-0.0888873938088986,-0.0927802588516811
Bwd Packet Length Max,-0.11583551979906806,0.07706210469901036,-0.06844261155592032,-0.0022713458468352626,0.9878171252635704,-0.0603775814052903,-0.10030809160749816,-0.1656709298469089,1.0,0.9775143628022562,0.9870818119752514,-0.023901420237463326,-0.05170282245784483,-0.10613142116300193,-0.11241043993752187,-0.11208306679653468,-0.06030084604907939,-0.11585609110147886,-0.1315158862394637,-0.10799152777823691,-0.1132826783723296,-0.17012828620366138,-0.02547112270843123,-0.057881841346881895,-0.0031077717020357365,-0.02345774456699002,-0.17537419545635402,-0.013516560452682578,0.6265088371720059,-0.09421665645828342,-0.05447126228595706,-0.04888239740427322,0.06461348120479748,0.11031983358253096,0.111044643066505,0.008473797765588523,-0.013516560452682578,-0.10304290077465647,0.12211714546287926,-0.10030809160749816,0.9775143628022562,0.07706210469901036,-0.002271345846835264,-0.06844261155592032,0.9878171252635701,0.3176861206070287,0.4736390354732134,0.3891512159792305,0.026133209597026943,-0.08921488942035305,-0.06096933579719782,-0.07814124443307378,-0.08701785650333803,-0.11202033849913512,-0.025124993016538068,-0.10850987373066788,-0.11325560324879652
Bwd Packet Length Mean,-0.061462877505997555,0.12397460920804294,-0.16954372255610795,-0.029880462770189697,0.9483585517158032,-0.1138600467431545,-0.1630137360804301,-0.2520748752628603,0.9775143628022562,1.0,0.9984188323484887,-0.018213720643893896,-0.025132450597167892,-0.055709995905387416,-0.059169321348965236,-0.05911595449440137,-0.031328327964237686,-0.061106051445980906,-0.0661874035693571,-0.05598871647180238,-0.059011428397172425,-0.07943790247745117,-0.020040803366110027,-0.032133717614374814,-0.006041765998028154,-0.015936571937665567,-0.08056090577145955,-0.007127548633908323,0.6150336392335242,-0.20177187228712667,-0.023429873589589464,-0.026813278478939787,0.014874904143121433,0.045783687010484665,0.04435378843050771,-0.01601364481983267,-0.007127548633908323,-0.04777307868318326,0.053627930915856076,-0.1630137360804301,1.0,0.12397460920804293,-0.029880462770189697,-0.16954372255610795,0.9483585517158031,0.16439042007074164,0.4765435216452099,0.3521651079804596,0.018534600740240305,-0.05059844519116781,-0.034472503169030624,-0.04499822273472895,-0.049934270578603245,-0.05944887559822341,-0.013251371976522562,-0.057572421250415826,-0.060118370916701684
