,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Flow Duration,1.0,-0.3713052241914754,0.19522467368102295,-0.41362275864528514,-0.4115628242642458,-0.44209183087770715,-0.36111631620369017,-0.4301266648239997,-0.43936580225582,-0.5724151105646214,-0.5145602566815597,-0.03835402769664927,-0.015400165290891199,0.9170117658902419,0.9086017832687558,0.8706479251289314,-0.006252290759384239,0.973428392298878,0.9159937414391447,0.9106427116284935,0.932366622646526,-0.0019536612403756506,0.9999679922819685,0.9208235404210015,0.8982858250144012,0.8678858302888451,-0.06304279556518178,-0.05502096082649528,-0.3675500204625996,0.1938908201474742,-0.014772479381714164,-0.01431407596895447,-0.44173495698095294,-0.5089192836380326,-0.47705040039769564,-0.5113491002942847,-0.05502096082649528,-0.025916891388049448,-0.5144403776891935,-0.36111631620369017,-0.5724151105646214,-0.3713052241914754,-0.41362275864528514,0.19522467368102295,-0.4115628242642458,0.19694051268975085,0.04250291382495335,-0.3339266591926947,-0.008297854511304313,,,,,,,,
Total Fwd Packets,-0.3713052241914754,1.0,0.752202914655752,0.9464542098749378,0.9494790930626501,0.9452984673757311,0.8751932879738579,0.9247185270873528,0.9471188629942628,0.9382594585305067,0.9510537644820598,-0.0765851890838637,-0.16939123287983773,-0.5213044731403804,-0.4889994477559411,-0.41406535787789917,-0.07937642090506469,-0.3157786748287749,-0.5176738253166232,-0.5238495464645647,-0.4960907476643715,-0.03700189614447208,-0.3711355829659879,-0.5090148726969104,-0.4719154959888516,-0.40607784908020306,0.042246483583963115,-0.6497083912702091,0.9999625858612785,0.7548412815487363,-0.16450321909686094,-0.15407548527635925,0.9459392904303628,0.9256695876323913,0.9395967838518317,0.925471115016225,-0.6497083912702091,-0.31481291271557854,0.9229848149234144,0.8751932879738579,0.9382594585305067,1.0,0.9464542098749378,0.752202914655752,0.9494790930626501,0.6499241499735924,0.21132910395105034,0.9671551575747757,-0.10330053373412205,,,,,,,,
Total Backward Packets,0.19522467368102295,0.752202914655752,1.0,0.7662729915660342,0.7694854358787548,0.7461435551607647,0.7898702380378517,0.752768929707015,0.7495844948291528,0.5889352562102648,0.6785736780436787,-0.10071232747488942,-0.18145280006816403,-0.0373233422230729,-0.027016383618335305,0.011863641789519135,-0.08900370096161779,0.26699829034236855,-0.004879685711314292,-0.01580796387190329,0.028932458393604213,-0.03137358462166924,0.19540822811545508,-0.02938468717098968,-0.02182456301557204,0.016744775900568328,0.0022070702712912605,-0.7022704388694299,0.7546850908093785,0.999885686442364,-0.17752655141707407,-0.16285738733164862,0.7470651872659908,0.6841352392698509,0.7178662629702576,0.6818668272828177,-0.7022704388694299,-0.33125726598924565,0.6781689200304456,0.7898702380378517,0.5889352562102648,0.7522029146557518,0.7662729915660342,1.0,0.7694854358787548,0.7831882570238876,0.24075569589940563,0.8264584102416093,-0.10615291582042789,,,,,,,,
Fwd Packets Length Total,-0.41362275864528514,0.9464542098749378,0.7662729915660342,1.0,0.9977692947482141,0.9972414685657097,0.9779649275814855,0.994402494901545,0.9975204861077971,0.9475099453994921,0.9842274216300899,-0.059541441313975554,-0.14199472677761008,-0.6242667262691611,-0.5818384106290333,-0.48681071620719596,-0.06781152251223672,-0.33978751952383135,-0.6138767612643529,-0.6223732962292959,-0.5849981909476238,-0.014830879092707498,-0.41348643235401744,-0.611982935481411,-0.5634785627721942,-0.4804870009709702,0.04540334678747379,-0.5530864680177837,0.9456934138596627,0.7662699455457479,-0.1385238229762734,-0.1281089243049024,0.99742833264763,0.982647677824487,0.9928776557867529,0.9839699805408615,-0.5530864680177837,-0.2627094741482223,0.9815936147744713,0.9779649275814855,0.9475099453994921,0.9464542098749379,1.0,0.7662729915660342,0.9977692947482141,0.531804292521385,0.18310177649628503,0.9750437764551563,-0.08404313801587195,,,,,,,,
Bwd Packets Length Total,-0.4115628242642458,0.9494790930626501,0.7694854358787548,0.9977692947482141,1.0,0.997578938662963,0.9753777414138812,0.9944591699547395,0.9981148239004415,0.9505939643796462,0.9862798221563259,-0.060956651713037664,-0.14379694833173148,-0.6194421775509429,-0.5768516922358152,-0.4820910443984169,-0.06846997828678125,-0.3389934417237064,-0.609896870966,-0.6180852332691563,-0.5809713442687036,-0.015838684044341404,-0.41141410411240265,-0.6069947998609705,-0.558347685615126,-0.47569157213673763,0.04676802587358959,-0.5621819751916722,0.9488795020696984,0.7696748746778473,-0.14034382218255267,-0.12963156664641814,0.9979202787803709,0.983378574109627,0.9943295787826795,0.986181793847419,-0.5621819751916722,-0.26496462156701395,0.98224324276876,0.9753777414138812,0.9505939643796462,0.9494790930626501,0.997769294748214,0.7694854358787546,1.0,0.5413020129372146,0.18588751578388857,0.9776881045974061,-0.0847645800818192,,,,,,,,
Fwd Packet Length Max,-0.44209183087770715,0.9452984673757311,0.7461435551607647,0.9972414685657097,0.997578938662963,1.0,0.9749634887638082,0.997401641410035,0.9996614271530256,0.956222428842022,0.9901080061032498,-0.05716837317232342,-0.14020337740156164,-0.6456194571290822,-0.6008299205066232,-0.5033685842690616,-0.06735892987853177,-0.3709483952405243,-0.6380305587231736,-0.6459919207826254,-0.6100369761528501,-0.014590477409733767,-0.44205289590365116,-0.6330402484740592,-0.5816409985372194,-0.4969823187528189,0.05027273109127548,-0.542020090656903,0.9443490235703301,0.7461180085222835,-0.13665556962216616,-0.1266944647284611,0.9998681445041195,0.9869942850762928,0.9973348604192992,0.9907678683976325,-0.542020090656903,-0.26158536684060624,0.9862313531328579,0.9749634887638082,0.956222428842022,0.9452984673757311,0.9972414685657097,0.7461435551607646,0.997578938662963,0.5177131250053107,0.17872592443632881,0.9715493962334241,-0.08368352591627087,,,,,,,,
Fwd Packet Length Mean,-0.36111631620369017,0.8751932879738579,0.7898702380378517,0.9779649275814855,0.9753777414138812,0.9749634887638082,1.0,0.9863585293254694,0.9750360596269183,0.9043824547733005,0.9525456664682986,-0.05766374057846705,-0.14424498605144292,-0.5780584388365626,-0.535511449256797,-0.4419551998973661,-0.07117345683252206,-0.2871184080589858,-0.5649908497299462,-0.5737435689537085,-0.5347291320285067,-0.011034910639158077,-0.3610216878603762,-0.5668342660035948,-0.5182187802728013,-0.4366113074744572,0.04222828232164988,-0.5407706470080391,0.8747430402402798,0.7891415965698634,-0.1401536071989168,-0.1310841996393596,0.9750058755028295,0.9702054815143035,0.9740655653766894,0.9681899956092593,-0.5407706470080391,-0.2789124952681274,0.9695119263088715,1.0,0.9043824547733005,0.8751932879738578,0.9779649275814855,0.7898702380378517,0.9753777414138817,0.5354795710120215,0.1800433738921739,0.9542134051759495,-0.08922663109181901,,,,,,,,
Fwd Packet Length Std,-0.4301266648239997,0.9247185270873528,0.752768929707015,0.994402494901545,0.9944591699547395,0.997401641410035,0.9863585293254694,1.0,0.9967306755659151,0.9468148822612814,0.9845838295618129,-0.056333234111556295,-0.14178251983099108,-0.6376574448903273,-0.5917227233736488,-0.4931158139933534,-0.06930185362720893,-0.35865841059874576,-0.6297192949678511,-0.6376758841901287,-0.6007613583640773,-0.013391612659021522,-0.43013096713742277,-0.6251360970016527,-0.5725364507354866,-0.4870309706084828,0.050750815075057604,-0.5313707677649326,0.923825067138766,0.7524226413118775,-0.1376429569993851,-0.12904366980962426,0.9970770877903546,0.9876637719333226,0.9961545317594495,0.9911543356009855,-0.5313707677649326,-0.27124181898172595,0.9871424617644129,0.9863585293254693,0.9468148822612814,0.9247185270873527,0.994402494901545,0.7527689297070149,0.99445916995474,0.5140563688453238,0.17546172073326077,0.9664919308214658,-0.0867727123365964,,,,,,,,
Bwd Packet Length Max,-0.43936580225582,0.9471188629942628,0.7495844948291528,0.9975204861077971,0.9981148239004415,0.9996614271530256,0.9750360596269183,0.9967306755659151,1.0,0.956764070646423,0.9904894892479496,-0.058445307131950765,-0.14065192031177706,-0.6418176070189219,-0.597338806901456,-0.5004432233445398,-0.06698262061307154,-0.3686314722326,-0.6342674355271212,-0.6422315833598058,-0.6064865660591487,-0.014711333233570328,-0.439252172411455,-0.6292216581655886,-0.5781790089274853,-0.49401464992541494,0.05087640023050444,-0.5500775852627656,0.9462136097888144,0.7496542427074195,-0.13728379257283252,-0.12678052018919303,0.9999375788191184,0.9871991056168938,0.997333358874386,0.9903627430716283,-0.5500775852627656,-0.25925964481865926,0.9863354626399193,0.9750360596269185,0.956764070646423,0.9471188629942628,0.9975204861077971,0.7495844948291526,0.9981148239004415,0.5242803157007581,0.18137716500310042,0.9737488550068543,-0.08293950639619203,,,,,,,,
Bwd Packet Length Mean,-0.5724151105646214,0.9382594585305067,0.5889352562102648,0.9475099453994921,0.9505939643796462,0.956222428842022,0.9043824547733005,0.9468148822612814,0.956764070646423,1.0,0.9872281510029238,-0.0558565558238375,-0.14059128469803148,-0.6917876123971219,-0.6477523904172591,-0.5563564745082238,-0.06710675449296272,-0.5249024531842342,-0.6983979477635587,-0.7020938763062641,-0.6796875260897851,-0.026229959585309562,-0.5723136269632503,-0.6792913305616892,-0.6267524271155271,-0.5491582078176084,0.061666478813431486,-0.5502181073967423,0.9373007904919612,0.5916498046100046,-0.13722222730984,-0.12672984507041177,0.9565309390905432,0.9798010365753828,0.9702515473160479,0.9769226034200438,-0.5502181073967423,-0.25932587496423165,0.9798297787303171,0.9043824547733006,1.0,0.9382594585305067,0.9475099453994918,0.5889352562102648,0.9505939643796462,0.5096363824382862,0.17429493420817296,0.9372803322566096,-0.0829606940191475,,,,,,,,
