,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Flow Duration,1.0,0.14937019631026444,0.19687873752044718,0.33193798738950486,0.11615192147851469,0.5473273329540261,0.2774881289312913,0.42270073883413345,0.7049677216390473,0.7362548257378176,0.6754831016122371,-0.009898294934540962,-0.032784079462085204,0.5559690162062877,0.9297712339038657,0.98141565521186,0.021115662912667567,0.998682537609602,0.6500918714677729,0.9181264425831971,0.9804295012090191,0.14512986502813674,0.5058082639485626,0.38445553807379274,0.4694481526346567,0.5016572449760968,0.1947073111867382,0.09769690483682832,0.14550630559051517,0.2073921032229919,-0.0298396482485908,-0.017813742775133895,0.7102750004770702,0.7089844798446263,0.7049914802233793,0.5835408264130713,0.09040882487558033,-0.11195768494746378,0.699393940311023,0.2774881289312913,0.7362548257378176,0.14937019631026444,0.33193798738950486,0.19687873752044718,0.11615192147851469,-0.24761614410246158,0.04846576724194239,0.4987428212730967,-0.4030328667976514,0.16211117090827482,0.1638828606434274,0.1805848049062489,0.12397171675030673,0.9516768529733823,0.2322338949172558,0.9776671308451623,0.9235827765123812
Total Fwd Packets,0.14937019631026444,1.0,0.9657195475145794,0.23736408811784432,0.9868207635640134,0.22542065995731664,0.08348760693818812,0.0913130858415523,0.12594210268638237,0.12938834635250682,0.10874462231620285,-0.002425758091666853,-0.004753412093130341,0.02729894821896294,0.09898221373710403,0.11930487787931332,-0.02644085776317549,0.14861656770938414,0.030069118604899955,0.11046800366787668,0.11938644190631074,-0.032107451053412776,0.07924722046374116,0.047585324035741054,0.05280219380607861,0.049264254524034615,0.019284815167526843,-0.02267055020939604,0.9986522043679044,0.9746445690720571,-0.0029433710471894756,-0.005817506755505738,0.12750126575863052,0.11893503515462062,0.1139840841499441,0.09278947933593808,0.0102129722469724,-0.008043621106424072,0.11519011785463243,0.08348760693818812,0.12938834635250682,1.0,0.23736408811784432,0.9657195475145794,0.9868207635640134,0.014761038719613748,0.03290185104338064,0.4540822176614918,-0.05264745893492011,0.08290791754738534,0.09131090682056568,0.09492660471376183,0.060278119713169924,0.1086654304979354,0.06014493010547182,0.11824814084366846,0.10173706901461468
Total Backward Packets,0.19687873752044718,0.9657195475145794,1.0,0.20492362533487765,0.9701672788827169,0.3281190665552895,0.13638371858113085,0.20361504895330362,0.2212262854706092,0.2282052747272045,0.1978385780487038,-0.0002700322923339261,-0.009403989422072758,0.046127288155911786,0.16454445333323162,0.18621162466326793,-0.03932182946218274,0.19500288958832804,0.0784277577144454,0.1919795958999565,0.18550878847587196,-0.03323796745676143,0.12524316746338235,0.03846867436894364,0.10844845891133062,0.10757082155194791,-0.011965663532209514,-0.01640321250617054,0.9556661614174852,0.9947295219830091,-0.009587057920229217,-0.0027064326241081032,0.22192618716596124,0.23912349783515752,0.21701089083689992,0.16945207191981757,0.022350682202461558,0.018963845334069966,0.23619239728362026,0.13638371858113085,0.2282052747272045,0.9657195475145796,0.20492362533487765,1.0,0.9701672788827169,0.025001975045965668,0.030127924613462087,0.43005425738861064,-0.12645559611586693,-0.01241087442544513,0.017130510647049582,-0.0013299021979700065,-0.01953753589795775,0.18340246147337338,0.01031803073386676,0.18301987142772141,0.1816376816222107
Fwd Packets Length Total,0.33193798738950486,0.23736408811784432,0.20492362533487765,1.0,0.13577221261106734,0.5061412006282605,0.7215053558241908,0.5103207697805043,0.18180053540911525,0.18550053761361257,0.17589131279164794,0.01073622081946766,-0.015950270518593525,0.0568828490007045,0.19017655108977566,0.22969972370793681,-0.06675354613700295,0.32781323652020317,0.06037199472776553,0.20066668631713622,0.2290098081681018,-0.06169432807230952,0.3245451222763877,0.30485589521623463,0.2580234576254185,0.2500445191144976,0.1679228205778079,-0.04103487860170203,0.2407727424078727,0.21433889248945254,-0.015642176350275004,-0.006037126776888928,0.19618959934618047,0.23326699240409926,0.20030333263667444,0.13423268032029845,0.10104301527357286,0.021865761747863113,0.23041674742141652,0.7215053558241908,0.18550053761361257,0.23736408811784432,1.0,0.20492362533487765,0.13577221261106734,0.2616709701272893,0.1480627752923248,0.7623109916054924,-0.15939521863058503,0.4221716043573901,0.5397776755421643,0.5001455973131649,0.26430652683177125,0.17665493577992847,0.25240392792147204,0.2259037276604849,0.14830335070480682
Bwd Packets Length Total,0.11615192147851469,0.9868207635640134,0.9701672788827169,0.13577221261106734,1.0,0.2052670465820357,0.03708699298794833,0.0769136029911025,0.15008958901934988,0.1533893784105916,0.13105796752627472,-0.00011484465879649883,-0.00456700811709391,0.028895500142857442,0.0952888086201505,0.10936279940643523,-0.01685206779483232,0.11585462421141086,0.04335942243104126,0.11287018207778866,0.10940522389339158,-0.020467134985015584,0.05586894079180901,0.002394166527417934,0.044238554707051216,0.042597074519608584,-0.01747426213937777,-0.013770219801414137,0.984596268710821,0.9804267693425779,-0.00424225474662047,-0.002281780345635691,0.15004760525625965,0.1520378515697534,0.1413048895458008,0.12421562122223892,-0.012252923540019221,-0.017567479723115856,0.14967666654486947,0.03708699298794833,0.1533893784105916,0.9868207635640135,0.13577221261106734,0.9701672788827169,1.0,-0.017096826244823494,0.007232295658641395,0.35721723452510995,-0.050225838974220345,-0.02069194716881851,-0.01398694714086544,-0.021104052706628646,-0.018448698536358988,0.11069673525782127,-0.001118476470129892,0.10894757397091792,0.1104792545650106
Fwd Packet Length Max,0.5473273329540261,0.22542065995731664,0.3281190665552895,0.5061412006282605,0.2052670465820357,1.0,0.7594403594258646,0.9533940483567988,0.6527787978770087,0.6707249622494983,0.6482962071627768,0.0385183460446189,-0.03142345774221236,0.1369980514354565,0.503373691803797,0.5469327341142077,-0.1436885170852739,0.5380221218901847,0.21774742526915394,0.571393981141676,0.5438253297821068,-0.11569096266602542,0.27954384463100507,0.09307819700320603,0.31159072430331547,0.2701877422292526,-0.07903482617516995,-0.08921135139983513,0.22686347937885065,0.3463331845599114,-0.03202754395873755,-0.00906141448465514,0.6602811298809005,0.703988166568978,0.6815493639197718,0.53089962101482,-0.022484250545931787,0.10548207253371296,0.7040938633739923,0.7594403594258646,0.6707249622494983,0.22542065995731664,0.5061412006282605,0.32811906655528944,0.20526704658203568,0.3439303409024717,0.039449972034724314,0.4548356094808983,-0.25883818817481086,-0.024681687016381196,0.06604714019093821,0.006301630414839955,-0.05498753267697295,0.5384192794883818,0.03749574532905239,0.5400210886331782,0.532552642479476
Fwd Packet Length Mean,0.2774881289312913,0.08348760693818812,0.13638371858113085,0.7215053558241908,0.03708699298794833,0.7594403594258646,1.0,0.8106011744364652,0.29574057148882466,0.2985105392540414,0.2950352104907643,0.13791230997470127,-0.003776839633585146,0.07019056650988748,0.22917559657835426,0.22734792201602894,-0.10231024516239479,0.270678363440655,0.11412404963062486,0.2251583370577692,0.22502012049641007,-0.026121739961480574,0.2820753368212656,0.2085411312254354,0.26905071236480915,0.2440501708447735,0.06104354782046378,0.007601098234229329,0.08659971940402132,0.14769256293276323,-0.013050226026331843,0.02042845598979674,0.30942165945790073,0.3976371544917332,0.3374199467097111,0.23815338639343012,0.08213833973845365,0.12786618060473126,0.40517866845278383,1.0,0.2985105392540414,0.0834876069381881,0.7215053558241908,0.13638371858113085,0.03708699298794833,0.47489239369948094,0.09169166110393705,0.5603636984309124,-0.15365946412697112,0.20259094617874412,0.29219088151587064,0.24780846380489965,0.1143705244926532,0.19536951034038366,0.1216699940603161,0.2196797677718282,0.1812979495453644
Fwd Packet Length Std,0.42270073883413345,0.0913130858415523,0.20361504895330362,0.5103207697805043,0.0769136029911025,0.9533940483567988,0.8106011744364652,1.0,0.5516269869804629,0.5626728409856259,0.5504968232995758,-0.0011696559584478071,-0.037040496926048216,0.10868462764945118,0.4064658677185864,0.42174736340459124,-0.1402330834320401,0.4131877717230189,0.187134050559136,0.44909316701767926,0.4182509273780645,-0.08102418018461387,0.255845456073649,0.08798597570126385,0.2920149644969377,0.24925161531000037,-0.07669626618884397,-0.11333142397367608,0.0933624672479757,0.21915489563770765,-0.03463230875491954,-0.017978411960728666,0.5591874378729297,0.6260561847454202,0.5899039334474346,0.44987711569677924,-0.037550215114563516,0.12053375766457877,0.6284418543313416,0.8106011744364652,0.5626728409856259,0.09131308584155232,0.5103207697805044,0.20361504895330362,0.0769136029911025,0.45832115979379445,0.04682658129302145,0.405193717150693,-0.2150753322925827,-0.01626244934122147,0.06634135895612508,0.010306959207222,-0.047243504521543314,0.41275086475552214,0.02106643813302047,0.4136673434805053,0.40901966498871006
Bwd Packet Length Max,0.7049677216390473,0.12594210268638237,0.2212262854706092,0.18180053540911525,0.15008958901934988,0.6527787978770087,0.29574057148882466,0.5516269869804629,1.0,0.9589933059802936,0.9893693294556102,0.00028493911416795667,-0.030082116463839792,0.21499771404912058,0.6656264534195232,0.7457425120510602,-0.11180794762792805,0.7024911095568315,0.3043818503164553,0.775906074144505,0.7458346350881799,-0.13577991466377007,0.2665493821343915,0.03324640656643692,0.3177146386401335,0.29377054432133715,-0.11579085030224687,-0.09095147489856545,0.12152692388029564,0.23437445397096687,-0.028087950634450826,-0.014690761031032297,0.9997292923766335,0.9305605316663534,0.9892789440036235,0.9456357313258932,-0.12213146564698453,-0.0920993379727926,0.9277313149646972,0.29574057148882466,0.9589933059802936,0.12594210268638234,0.18180053540911523,0.2212262854706092,0.15008958901934988,-0.06333190650210539,-0.013850930871519285,0.27895831887280803,-0.3139467451043618,-0.1440134800152285,-0.10428882657646628,-0.14845754045275725,-0.12568394553354698,0.7598923933622965,-0.0030120580719692736,0.7485569029544864,0.7579073941694746
Bwd Packet Length Mean,0.7362548257378176,0.12938834635250682,0.2282052747272045,0.18550053761361257,0.1533893784105916,0.6707249622494983,0.2985105392540414,0.5626728409856259,0.9589933059802936,1.0,0.9543041172651034,0.0009918869265083219,-0.03088660513895737,0.22185653290186597,0.6917995605361442,0.7796522937245037,-0.11541572812031273,0.7340796307677314,0.31112694503471894,0.8031917680893328,0.7798199976003499,-0.14012834527102094,0.20888809136367653,-0.000313054690920499,0.2558345848129856,0.2355962268194776,-0.11956274867145425,-0.09339161798911008,0.12565551047241086,0.24068617553101543,-0.02896597257569068,-0.014786946026179934,0.958511998847686,0.9712174737098445,0.9747241936803558,0.8796413123994834,-0.12976606601759375,-0.11122696559641344,0.967858102910131,0.2985105392540415,1.0,0.12938834635250682,0.18550053761361254,0.2282052747272045,0.1533893784105916,-0.06953336011453759,-0.012500148064999028,0.2716133131943941,-0.2961398344758994,-0.1505470907522491,-0.10990443412854393,-0.15598262874435018,-0.13122301019761026,0.7947155441732834,-0.004619547541903976,0.782772515537907,0.7927850614395516
