,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Flow Duration,1.0,0.13215371489668168,0.1096370440657525,0.03412074146627739,0.04500462862055086,0.28556254112384216,0.04158370105000334,0.2288149294054599,0.35383488343660924,0.22896101816857417,0.30582829956239127,-0.03343077621080672,-0.05965032028742497,0.382360646817961,0.6939831493601154,0.7460902732559017,0.2153471770986036,0.9943118746481274,0.5087247911057807,0.687115547993021,0.7474128305427642,0.2202195583944171,0.9156611473455999,0.517138799860696,0.6878747354661602,0.6913239428687759,0.10685849720162219,0.010743141338098438,0.13342573686338938,0.12254534445431288,-0.046809661885858354,-0.07672312505439566,0.3715665203049697,0.2553793895829007,0.33835696967721857,0.30596747751029113,0.010743141338098438,-0.06713664567435666,0.2118250373452797,0.04158370105000334,0.22896101816857417,0.13215371489668168,0.03412074146627739,0.1096370440657525,0.04505320277117394,0.10114211885337182,-0.14177276490913104,0.0877632141405491,0.10807553884544584,0.19270902489947708,0.1963432439692115,0.23594492174533,0.1347178648325352,0.7402203085881172,0.24749886628202636,0.7471586734037589,0.7130421335631486
Total Fwd Packets,0.13215371489668168,1.0,0.8546574129503973,0.7648495656635739,0.4927789327621843,0.10166495533317173,0.14649520033569755,0.0776493478371652,0.06599817044351908,0.07734229208874857,0.05150260513470383,-0.0003257193540500043,-0.010352103415601183,-0.0012772524287146222,0.03589752366859424,0.054896103744104266,-0.008226009320502898,0.1327095945344617,0.007799595069828128,0.04104332472849548,0.05670254639684346,-0.008975166401954995,0.12646702474984467,0.01762038851364292,0.04069037615071759,0.0596932900664023,-0.004955745733113647,0.003117320142964577,0.9235159787330929,0.7703000101075361,-0.007846956935322284,-0.01450075179589511,0.08619320764040261,0.12904165199265052,0.09468996570577362,0.0980354174177965,0.003117320142964577,-0.01468053423834901,0.11872134061561421,0.14649520033569755,0.07734229208874857,1.0,0.7648495656635739,0.8546574129503973,0.4927739719300854,0.02990611163178031,0.01786372543763683,0.8677422783177426,0.018113818245773104,0.10895711475295333,0.07676660155609086,0.11685826606457328,0.09156722084212662,0.04962099411423877,0.04201841858829769,0.05322677607547113,0.04394698851572066
Total Backward Packets,0.1096370440657525,0.8546574129503973,1.0,0.40875157906215914,0.849118287618981,0.09976688131750856,0.09709762731903634,0.07307039571395268,0.08100005220541996,0.12510301502752286,0.05840278204693949,0.0031585431428018864,-0.009665084427749914,-0.005162374955515557,0.03313536320131316,0.05416401309509211,-0.010444058835191795,0.10897291970729786,0.003613905630528925,0.0390951098364642,0.05414616704398031,-0.01072390848946658,0.12251368361010556,0.015414309878965691,0.04314672185905325,0.06791977245927037,-0.005444438877799178,-0.0054993391512472645,0.9306688881728359,0.983971730112009,-0.007858004800188743,-0.011259430357939077,0.09440090088797976,0.16857927785335908,0.1102953985081265,0.12049407375085658,-0.0054993391512472645,-0.013750075560382614,0.1586972346044539,0.09709762731903634,0.12510301502752286,0.8546574129503971,0.40875157906215914,1.0,0.8491285823287219,0.024460541299789685,0.010355998105570795,0.5122061504732117,0.0304816793454176,0.03566701090335014,0.016528531955255003,0.038331511657845645,0.03458774332510985,0.04944448568367413,0.037785673387650834,0.052339679704121754,0.0445131142548493
Fwd Packets Length Total,0.03412074146627739,0.7648495656635739,0.40875157906215914,1.0,0.006499684228282676,0.05189869027840518,0.16270500481431796,0.041197800239737466,0.005672515954190497,-0.0006434934437925332,0.0026886335338520044,0.0025079244544133875,-0.002407466813503027,-0.0030962484582441694,-0.0006118766460656154,0.006818986885040156,-0.002439406904021031,0.03434151906131837,-0.0027039894265918334,0.0005252615102989,0.007290005054622901,-0.0026553748142003858,0.03752483048752026,-0.0015902710131666755,0.0015636309917917367,0.009495971415508482,-0.0018922861014582944,-0.002004750699059737,0.49108185338540367,0.2557265218487551,-0.0018700184756213676,-0.0031788130948501,0.024905295875478496,0.05188167399705043,0.029992528175165817,0.02981933152526338,-0.002004750699059737,-0.003367391731811682,0.04885647013126648,0.16270500481431796,-0.0006434934437925332,0.7648495656635739,1.0,0.40875157906215914,0.006506575807510545,-0.0018088857209221853,0.0012259319296077872,0.8905990931296138,-0.0034645313469966153,0.07500784234271525,0.02322412363268433,0.07114120396542023,0.07758178921931437,0.005538604705922914,0.010156707985291596,0.006544415850551639,0.003660529906694562
Bwd Packets Length Total,0.04500462862055086,0.4927789327621843,0.849118287618981,0.006499684228282676,1.0,0.03460311524114978,0.0003358916561826808,0.01537669890424796,0.05008570535097387,0.12335910576582296,0.03165693460423001,0.00762988310409007,-0.0037160026067715123,-0.0036754636020918255,0.011393091872905263,0.030171715106181735,-0.0038152579289846573,0.04474851886379298,-0.0009193331488415585,0.01693917281227173,0.030289663009886815,-0.004195749704236437,0.0499337738168239,-0.00021412044010590576,0.015884880169093903,0.03632543498330904,-0.003358780678730204,-0.008211633977274663,0.6350366445793102,0.8798619115734332,-0.0030416650419327366,-0.004241387612047476,0.04968449336924019,0.14195842592424632,0.07318753860276105,0.09475017345601718,-0.008211633977274663,-0.0053858296988097,0.13585284883481175,0.0003358916561826808,0.12335910576582296,0.4927789327621843,0.006499684228282675,0.849118287618981,0.999999862346463,0.008133292241813514,-0.006089530556290195,0.011326865952113123,0.01377034676103689,0.0016746396667272454,0.003388064623212678,0.004608807251335371,0.0007590902246063861,0.027800107559216095,0.020150559224158822,0.029225685045327316,0.025101863081113344
Fwd Packet Length Max,0.28556254112384216,0.10166495533317173,0.09976688131750856,0.05189869027840518,0.03460311524114978,1.0,0.8035080599908161,0.9641945885227279,0.7433194653926748,0.426520777630975,0.6695556035088917,-0.0199374225840426,-0.0817323895974504,-0.057916289988481764,0.15320344854912601,0.14254049160792054,-0.08659834530435247,0.2858504195616532,-0.0037323227961345087,0.175972164912256,0.14192304556240942,-0.09368009077699352,0.3517212620152391,0.09746359198685116,0.22574202130341225,0.21886171546013555,-0.05194680589233295,-0.1293231698887788,0.12030760139198216,0.10634606858300677,-0.06374742156679458,-0.10680011011296932,0.7890799012896816,0.5812823786302364,0.7143750448369847,0.5594686464526692,-0.1293231698887788,-0.11807201326787004,0.5523898840882456,0.8035080599908161,0.426520777630975,0.10166495533317171,0.05189869027840518,0.09976688131750856,0.034636351382699215,0.1714172196300494,0.5466254397308296,0.08773506627644256,0.26758202533903025,-0.004202612168825876,-0.004326787858030663,0.00819083049802586,-0.0006301162628350066,0.12635222328834222,0.04802727943532852,0.1277369228310566,0.11880014661794558
Fwd Packet Length Mean,0.04158370105000334,0.14649520033569755,0.09709762731903634,0.16270500481431796,0.0003358916561826808,0.8035080599908161,1.0,0.8229405746111681,0.5319408888018219,0.29823505267787687,0.4764212332694547,0.05506784862194151,-0.08700521078206773,-0.10917084809245112,0.02944628657905572,0.017921531289984267,-0.1026897748465173,0.04447743065560881,-0.08345301128618574,0.055553844024290325,0.01804438131404073,-0.10742054079646479,0.10498921939378436,0.0015245196287257397,0.09255528023221508,0.08825796661599607,-0.03927866344025222,-0.08268523446799304,0.1222242550672142,0.07714388720458715,-0.06883930528100736,-0.10949340205933805,0.599104267496553,0.5282795685556678,0.5459635405322004,0.4102507894784379,-0.08268523446799304,-0.12648221722065234,0.5419219841811235,1.0,0.29823505267787687,0.14649520033569755,0.16270500481431796,0.09709762731903634,0.00033982507245136065,0.05306363230649827,0.4647243851854208,0.16899120789359978,0.062209712353306176,9.429364647250404e-07,-0.012576462887406742,0.006112985859760433,0.0074946439035472115,0.001379574367830265,0.019092958727757382,0.0047642150765332975,-0.0027265576354063405
Fwd Packet Length Std,0.2288149294054599,0.0776493478371652,0.07307039571395268,0.041197800239737466,0.01537669890424796,0.9641945885227279,0.8229405746111681,1.0,0.7225481847799736,0.40014653472283906,0.6715852710591595,-0.031143630695630566,-0.07346121334991336,-0.05568421393927065,0.13842481073590712,0.11779049339711765,-0.0822331392486595,0.2271683517320702,-0.00859639559108154,0.15439027390762386,0.11316285655272158,-0.0886128687538721,0.2880834435370099,0.09221815542169469,0.19595767677796266,0.18413285624521394,-0.035298240831317676,-0.08815838820404624,0.09382354707606246,0.07885361540176059,-0.05621150600578531,-0.1006407634266863,0.7735679093299638,0.5504902047945639,0.7139863381173107,0.5618148779621828,-0.08815838820404624,-0.11401193340815143,0.5185662663584844,0.8229405746111682,0.40014653472283906,0.0776493478371652,0.041197800239737466,0.07307039571395268,0.015395521818247519,0.19263608768458917,0.5490828683744498,0.06989299865304235,0.3177630411637894,0.0016185398674702456,-0.003859736242015852,0.012234121067281079,0.005731654130952342,0.10022062124827015,0.04115271116320764,0.102063028842015,0.09346473620854809
Bwd Packet Length Max,0.35383488343660924,0.06599817044351908,0.08100005220541996,0.005672515954190497,0.05008570535097387,0.7433194653926748,0.5319408888018219,0.7225481847799736,1.0,0.7829703739779743,0.9715359741195533,-0.04175948886833705,-0.09632420092201717,-0.053805206861770975,0.28558970281364643,0.3006090176771329,-0.09502385201525036,0.35041473802263556,0.015366307050338812,0.32474941437783533,0.29103887028772296,-0.10347209387957013,0.4280836538424761,0.1318761705740495,0.4011979629746786,0.39719388682691353,-0.06428904319285023,-0.21251626353980121,0.09390491963227657,0.09292554567341625,-0.07624125513823117,-0.12109815944144461,0.9882782083694016,0.7747084744987193,0.9527840816349006,0.8399341903020172,-0.21251626353980121,-0.13421654243137132,0.745734337199208,0.531940888801822,0.7829703739779743,0.06599817044351908,0.0056725159541904996,0.08100005220541996,0.050132840492650516,0.17835679116100883,0.45650317320464207,0.03835943804866582,0.2739965865604087,-0.04782367727260729,-0.024894775601192378,-0.03905850071967581,-0.042251944632664414,0.29521093792160263,0.049574281212641104,0.2897148230431846,0.29220035534244
Bwd Packet Length Mean,0.22896101816857417,0.07734229208874857,0.12510301502752286,-0.0006434934437925332,0.12335910576582296,0.426520777630975,0.29823505267787687,0.40014653472283906,0.7829703739779743,1.0,0.815819868638182,-0.023269535814092676,-0.08790438028838897,-0.0792720679566238,0.18292859871477737,0.23395710938098843,-0.09069568848181232,0.2275535564705531,-0.03462336896045979,0.23295994539967302,0.22613828313292927,-0.09717626717393027,0.29121515202852943,0.04507746580082294,0.26180281031925,0.31282642748135736,-0.036991668160067416,-0.19168096408580082,0.10640414120689537,0.13493502731970056,-0.07060591480104811,-0.10610322065240542,0.767212169996112,0.9339702952699619,0.8877539474874886,0.9352910346794051,-0.19168096408580082,-0.1282899139732207,0.9275245164092537,0.29823505267787687,1.0,0.07734229208874854,-0.0006434934437925326,0.12510301502752286,0.12346655270056392,0.06850097119816467,0.1485766994689687,0.019620665496055678,0.08089528082778441,-0.054994178690392866,-0.02987623850105852,-0.0475499403171489,-0.04849920097633954,0.23264723579872912,0.0441929014307615,0.2290698237689112,0.22922278833993343
