,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Flow Duration,1.0,0.21334515478636926,0.2277334934074282,-0.0667048898007134,-0.037847754207169494,-0.08480573251864325,-0.09126898570801828,-0.01591087883167887,-0.0415365038844352,-0.04107763176975818,-0.04408266698742833,-0.04822686814851346,-0.06935747551853691,0.9181993563223373,0.926813494384078,0.9453652430706188,0.06506773803673947,0.9999405778027367,0.9240754983310325,0.1595637771846931,0.9453747892688681,0.918109417441224,0.9815707573990375,0.9198930983155961,0.13574042598382702,0.9367335109084286,0.9163979600192586,0.029189542181509178,0.024888032858055804,0.029148012066164148,-0.06421108606662801,-0.05270370596543841,-0.05158104156628259,-0.07757660085227046,-0.04191766859906064,-0.043345215084608736,,-0.019079520511906443,-0.08433334250609753,-0.09126898570801828,-0.04107763176975818,0.21334515478636926,-0.0667048898007134,0.2277334934074282,-0.037847754207169494,0.0661578280726814,-0.2753234249205051,-0.08706001529554334,0.02532871597746995,0.2559856588088543,0.2191685718372211,0.23212801694353488,0.12880164883407136,0.9322064118505443,0.32829257535268963,0.9416430892207325,0.927251824788041
Total Fwd Packets,0.21334515478636926,1.0,0.9229796051123716,0.15618203110562423,0.06499363483859595,0.08178699686366608,0.0014212548756087063,0.1418637642570044,0.04728891968433674,0.038009158198802205,0.04635802110850131,-0.006956964550205315,-0.011096844712102935,-0.026034745077301687,-0.02289237190534763,0.007895152819607332,-0.0028502760671039996,0.21295332359645536,-0.029392740128952526,0.1723874693391506,0.00812494154965295,-0.03352241627829874,0.206189878208986,-0.02811295502462373,0.1944449429140048,0.0072352606727344795,-0.03213764951604716,-0.005675308172319461,0.008765517365222077,0.21256974686288585,-0.007428734558247308,-0.03172266858199196,0.045879419598177915,0.025495251340074417,0.042582265814843374,0.03313681784694521,,-0.026592935129557026,0.017759184171648363,0.0014212548756087063,0.038009158198802205,1.0,0.15618203110562423,0.9229796051123716,0.06499363483859595,-0.02938967319537532,-0.04166673681319829,0.21532876892951816,0.008920594681450487,0.8214401892187231,0.8609556776764838,0.8602920641259153,0.03969492531329705,-0.009777671594552765,0.48591544969405903,0.004137368055249351,-0.017863805781481425
Total Backward Packets,0.2277334934074282,0.9229796051123716,1.0,0.12867944230109818,0.15843588912020096,0.0617665052862762,-0.05008265356216292,0.19057534113932525,0.12744202249840894,0.11476523716721085,0.12082412406095154,-0.03373990233910741,-0.042778952257258224,0.01598323263996684,0.02305951659295601,0.05459024426317511,-0.00870519261647259,0.2273657022781356,0.016468153174857315,0.19330257183314098,0.05491249280372892,0.011878691275541775,0.23198619138789628,0.01693560987491755,0.2239353595385084,0.05591262643120836,0.012871706485462087,-0.006707760877080727,0.01778826254828295,0.33578865329846486,-0.042144808068075926,-0.011710737024938385,0.11973114916124947,0.07681521038351324,0.1227121561472856,0.10673823525615812,,0.0025320658903542665,0.06005152308368327,-0.05008265356216292,0.11476523716721085,0.9229796051123715,0.12867944230109818,1.0,0.15843588912020096,0.03282199035923065,-0.07977537473759762,0.240410576057,0.018103086365892147,0.8650234166990091,0.9196112299015687,0.914610349553787,-0.0030320421172641723,0.03821285490473463,0.5010294527489213,0.052109635284440896,0.029724021290537667
Fwd Packets Length Total,-0.0667048898007134,0.15618203110562423,0.12867944230109818,1.0,0.056102717606276706,0.8552533788611999,0.7380904141027057,0.3516301005835842,0.0005460902067350769,-0.023150300416371953,-0.006540030282713749,0.43274188344926506,0.3233633007189701,-0.06640752480688705,-0.09213541550822373,-0.08171620249949871,0.10516457282791367,-0.06768656379438355,-0.08438933477890195,0.0009534909392139306,-0.0815463895844338,-0.08382152766301441,-0.07416720216639175,-0.09246765475319141,0.027942249085698926,-0.08974109418664164,-0.09303829924252917,0.12819884875693896,-0.07605932015634996,0.413591830271137,0.33550687085159625,-0.05014670835381501,0.0771780607726417,0.31540629741079523,-0.008194587535193297,-0.03467157629890385,,0.012861796260499419,0.3806695409016118,0.7380904141027057,-0.023150300416371953,0.1561820311056242,1.0,0.1286794423010982,0.056102717606276706,-0.2471319962376513,-0.26021947262076267,0.77880717707489,-0.0773155228347019,-0.016749218545911278,-0.012690282197993976,-0.014109506709460503,-0.014786317056194372,-0.09450967779771774,-0.018488477477973275,-0.09498497598166734,-0.09423875220348836
Bwd Packets Length Total,-0.037847754207169494,0.06499363483859595,0.15843588912020096,0.056102717606276706,1.0,0.044307404718550034,-0.04444975090280712,0.20682430567567486,0.9815880086228105,0.9845093128239626,0.9752465415618653,-0.02670943906870148,-0.04373759809096187,-0.054279550448203887,-0.048372297203602505,-0.040421623747871865,-0.008038022658022007,-0.03837691335845217,-0.050989558724000246,0.3212987054652301,-0.040388900946284265,-0.06108589797016735,-0.0362876888899821,-0.057033825113258406,0.2596207266491446,-0.039377224690666464,-0.06122420321039842,-0.0076723545367981824,0.016325886032283448,0.48369412197544104,-0.04118804911856792,-0.027538689598164537,0.9753554776543655,0.8700171344241656,0.9866420779648496,0.9705801456374373,,-0.026654039133251727,0.797131482012818,-0.04444975090280712,0.9845093128239626,0.06499363483859595,0.05610271760627671,0.15843588912020093,1.0,0.1613474997288963,-0.17824679578489167,0.17615314176112046,0.016614816570353155,-0.011125334316454124,-0.00851610430153431,-0.009430439412117068,-0.00949966971438905,-0.04209682284623866,-0.012407115942928012,-0.04244344173914837,-0.04191076707500128
Fwd Packet Length Max,-0.08480573251864325,0.08178699686366608,0.0617665052862762,0.8552533788611999,0.044307404718550034,1.0,0.9295990459884919,0.380091591385518,0.01757054597752297,0.0008144636136389986,0.01680321666929114,0.5738034555320984,0.3742984429667244,-0.06973640411642076,-0.1074848414798482,-0.09303318455476205,0.15785247477151804,-0.085972090869989,-0.09632542786399614,0.015255359750930437,-0.09343390296764807,-0.09608106587586993,-0.09558937289390224,-0.10773808078535091,0.06715529632889783,-0.10499872984681206,-0.10934926227705695,0.19219058757387958,-0.1171524325864246,0.23566392757276353,0.38839534890287714,-0.05837739926974247,0.11760433758122736,0.4233835583328232,0.015895223774217666,-0.007717950170739943,,0.044765858710654007,0.5248994641089848,0.9295990459884919,0.0008144636136389986,0.08178699686366608,0.8552533788611999,0.06176650528627619,0.044307404718550034,-0.28814603357014695,-0.2986233741170651,0.4802388445183936,-0.11909490005234388,-0.019847874839060482,-0.015049218772499021,-0.016727348170917856,-0.017480335418328344,-0.10857963501984738,-0.02192521316668772,-0.1091478209229167,-0.1082576520708034
Fwd Packet Length Mean,-0.09126898570801828,0.0014212548756087063,-0.05008265356216292,0.7380904141027057,-0.04444975090280712,0.9295990459884919,1.0,0.07317002334442069,-0.049212119761018615,-0.05264849685381144,-0.048659034290597855,0.6394059678827607,0.4247168844454972,-0.06074408145260935,-0.1032553370991658,-0.09063922985423531,0.17396781150526214,-0.09158026734665815,-0.08872069597729934,-0.04268585489725196,-0.09081419002971211,-0.08704954502190929,-0.10281628754837778,-0.10224886025064445,-0.020995454785898128,-0.10387703471909046,-0.10178245983997068,0.21340398293224258,-0.13366649176486659,-0.08210386820178571,0.43927400478935263,-0.054462293303963585,0.06000573834725196,0.42338985737676443,-0.04807989447530137,-0.05096899098262821,,0.040256242991496785,0.541075655225733,1.0,-0.05264849685381144,0.0014212548756087104,0.7380904141027057,-0.05008265356216292,-0.044449750902807124,-0.35255705807938104,-0.28091434327701303,0.23800639652543554,-0.13588827071198967,-0.01835723964247492,-0.013906133784474537,-0.015462424547740621,-0.016215110855496533,-0.10413693058831319,-0.02025985216629632,-0.104657024657993,-0.10384016162464743
Fwd Packet Length Std,-0.01591087883167887,0.1418637642570044,0.19057534113932525,0.3516301005835842,0.20682430567567486,0.380091591385518,0.07317002334442069,1.0,0.168689517371129,0.1449031210583057,0.17004179877223063,-0.025808858898303907,-0.03742396170055163,-0.03947219946932471,-0.038294706513135345,-0.030357866668227897,0.00565349260174105,-0.019462042336182685,-0.04391300743668334,0.14959638620549046,-0.032493397247926076,-0.04757726396683485,-0.01694670567938634,-0.04160736333464546,0.25316735299813653,-0.03062703196003867,-0.04754923865214942,-0.006504127087210105,0.01384016683793917,0.5645354819565299,-0.03498828263303897,-0.025644309517498416,0.17842937364972328,0.12426572513790474,0.18205905516476714,0.12282559108008845,,0.0949032789053915,0.1115026192225134,0.07317002334442069,0.1449031210583057,0.1418637642570044,0.3516301005835841,0.19057534113932525,0.20682430567567486,0.0557584718435705,-0.0979765114368894,0.46354884304379357,0.014084965207305148,-0.009471788899633939,-0.0072194036914554355,-0.008007952770322447,-0.008202499604876063,-0.038387805072246886,-0.010517952278080035,-0.03867814331202121,-0.03823061659643812
Bwd Packet Length Max,-0.0415365038844352,0.04728891968433674,0.12744202249840894,0.0005460902067350769,0.9815880086228105,0.01757054597752297,-0.049212119761018615,0.168689517371129,1.0,0.9898677514576437,0.9953553037788582,-0.0258979033576759,-0.04290428139742832,-0.05380349711817114,-0.048232654207008764,-0.04113271206486787,-0.007921069385111184,-0.04202274369531407,-0.05071616352130106,0.2978606367051921,-0.04135147324135023,-0.060083875976387216,-0.03988879388220895,-0.05628769671231399,0.24296627670602686,-0.040180617912103936,-0.06021930516131321,-0.0075731759502247475,0.016114818116889917,0.39579548416817895,-0.040511468874176865,-0.026128466862010518,0.9939419625866199,0.8630079294518532,0.9963063979326421,0.9941112681898562,,-0.026200823354447452,0.790682780867196,-0.049212119761018615,0.9898677514576437,0.04728891968433674,0.0005460902067350781,0.12744202249840894,0.9815880086228106,0.15913987172130242,-0.17547982436617796,0.1015690863441308,0.01640004103708453,-0.010986303218369124,-0.00840601877515679,-0.00931012325687967,-0.009394524716632704,-0.042148418103932855,-0.012246732293193048,-0.04248978364848252,-0.04196488601662049
Bwd Packet Length Mean,-0.04107763176975818,0.038009158198802205,0.11476523716721085,-0.023150300416371953,0.9845093128239626,0.0008144636136389986,-0.05264849685381144,0.1449031210583057,0.9898677514576437,1.0,0.9928967464385413,-0.026059261664649627,-0.04296665506432353,-0.051773936637281755,-0.046176409946614934,-0.03930415744278178,-0.007962012185244952,-0.04148106736540723,-0.04854557088145971,0.2975184921549927,-0.03947526895440232,-0.05792973629519882,-0.039321057717647136,-0.05418701764132306,0.240502247862705,-0.038317845148271426,-0.058059290705280264,-0.007646202675336098,0.016270194402408657,0.36024014050473663,-0.0407160248762083,-0.024973891393089843,0.9837117385304383,0.8676958206496379,0.9957682374522757,0.9893212071008518,,-0.026103985522583886,0.7948994453459928,-0.05264849685381144,1.0,0.038009158198802205,-0.023150300416371967,0.11476523716721086,0.9845093128239625,0.1589049817503943,-0.17590190558553206,0.06764488380691643,0.01655818359919603,-0.011092085341861535,-0.008487076448504023,-0.009399846976718976,-0.00948453580549593,-0.039836610691364106,-0.01236482525162495,-0.04018479342027245,-0.03965076777346489
