,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Flow Duration,1.0,0.5574849078725984,0.5560552409667803,0.5964445525033419,0.5295611818113637,0.6215401786062669,0.8648696025427122,0.3465292294718478,0.35723900291811567,0.49366185650259836,0.22716146266790674,0.501400041106334,-0.12853066214673692,0.6455215410257418,0.46917290051251126,0.6927365487512479,0.4600528831135155,0.9987124488483922,0.6174903312629513,0.40942507840037917,0.6952871426787122,0.4600360187817691,0.5731902392422463,0.09735045725846656,0.04705923996765397,0.12268358276155837,-0.046829867539071986,-0.01073237496767772,0.49275081062832987,0.5125033304972111,-0.11280015650898231,-0.10732967279540129,0.4496036801388853,0.7971227326543449,0.3978634214420818,0.3104206008056154,-0.01073237496767772,-0.12603582668646046,0.8156960074923364,0.8648696025427122,0.49366185650259836,0.5574849078725984,0.5964445525033419,0.5560552409667803,0.5295611818113637,-0.42427075216093996,-0.45644272307259204,0.5840731005067075,-0.7095066952456704,0.6723489634431252,,0.6723489634431252,0.6723489634431252,0.7189147235370078,0.672350305248553,0.7633574306423825,0.535733015697026
Total Fwd Packets,0.5574849078725984,1.0,0.9894531558159794,0.9791770540199509,0.9218720749735729,0.6705872870741917,0.5770963270917701,0.6669978116345352,0.6759090180410631,0.8788841331413992,0.46590340382835027,0.933605390360095,-0.07938178541727396,-0.1267714229417883,-0.2751154191902031,-0.1668483710955892,-0.039621473902803885,0.5586145576236107,-0.15563948642202513,-0.30331470234079566,-0.1579719649195511,-0.039628352097640006,0.9548888416712834,0.20110860627550373,0.1395903133424506,0.29712979595162076,-0.03592593550417691,-0.005728076268182417,0.9693150902252989,0.9774529010093829,-0.06915300990854303,-0.06846115624048749,0.6526575363244193,0.808524384991793,0.7458806534072219,0.5763022415670753,-0.005728076268182417,-0.08034524778723394,0.7722057626307075,0.5770963270917701,0.8788841331413992,1.0,0.9791770540199509,0.9894531558159794,0.9218720749735729,-0.1895748481354818,-0.41757089096665356,0.9895367072187391,-0.22271063400115287,-0.06247777291010327,,-0.06247777291010327,-0.06247777291010327,-0.06444655148268867,-0.06247788585816319,-0.06938549163049103,-0.04673408139016384
Total Backward Packets,0.5560552409667803,0.9894531558159794,1.0,0.9939051089335204,0.8899907578799172,0.6826945831908463,0.5935795800176243,0.6888765861789079,0.6707374511405139,0.851226610373153,0.4851912292194578,0.9107414293474473,-0.07993616003157303,-0.14141752286099965,-0.2944719865029534,-0.18637866345430984,-0.04593633058200513,0.5562151482487726,-0.170837889353907,-0.3240161339826123,-0.17907134359348034,-0.04594401045439898,0.9763819569366428,0.22404769568773908,0.1642595112336713,0.311107116393496,-0.026278901664653118,-0.004190849044214998,0.9446725571553729,0.9712548433688803,-0.07099772195698703,-0.06317535960831555,0.6458217776816532,0.796916494633242,0.732875891137876,0.5472034960881184,-0.004190849044214998,-0.07430466583217615,0.7600621233756504,0.5935795800176243,0.851226610373153,0.9894531558159796,0.9939051089335204,1.0,0.8899907578799172,-0.20505815524814036,-0.42437028327786036,0.9989828302751106,-0.2315589723516642,-0.08153452105969602,,-0.08153452105969602,-0.08153452105969602,-0.07977039904988646,-0.08153464687512901,-0.0877025469081109,-0.05538676702333442
Fwd Packets Length Total,0.5964445525033419,0.9791770540199509,0.9939051089335204,1.0,0.9036229994150629,0.687226109930272,0.6273827360058393,0.6781238086069347,0.6626572331637678,0.8603521900451293,0.46689406437563175,0.9027269181251409,-0.07706601871273858,-0.11355636880802743,-0.2555385803968166,-0.15134786080838294,-0.036355280397738256,0.5973180666682044,-0.1431289136968936,-0.28617580136330184,-0.1427266841691578,-0.03636546672719954,0.9863029369286053,0.21068889483878833,0.14564416858699794,0.27758472385739175,-0.034851468898656486,-0.0026926757977158923,0.9103251762937565,0.9421848134370345,-0.06764529706198714,-0.06430678081078978,0.6434992259866896,0.8245467112003105,0.7308372389074563,0.5533812868488428,-0.0026926757977158923,-0.07562556378299658,0.7895334825662744,0.6273827360058393,0.8603521900451293,0.9791770540199511,1.0,0.9939051089335204,0.9036229994150629,-0.24918770084799932,-0.43254094706943497,0.9951635371686355,-0.2833809597482582,-0.037444013543959584,,-0.037444013543959584,-0.037444013543959584,-0.04809460354504751,-0.03744412840673324,-0.04780530507673469,-0.04025166615531322
Bwd Packets Length Total,0.5295611818113637,0.9218720749735729,0.8899907578799172,0.9036229994150629,1.0,0.60961132231379,0.5082325516235834,0.6209308683765998,0.6919061289710472,0.957875693080939,0.4136640706617339,0.9113087874638447,-0.06709756664059435,-0.12032792964034907,-0.25813956618881334,-0.16297757406558175,-0.03740323164117664,0.5303710137126814,-0.14643676511482448,-0.28354879873856653,-0.155040635781202,-0.03741269932723552,0.9104332294983383,0.19582738670597838,0.12123494064371707,0.24614954708701473,-0.03054834909316482,-0.005441346407295379,0.8431057320663474,0.8354536695013012,-0.05889481116574821,-0.05599126782475564,0.6683694419274592,0.8267562814793126,0.7960344674923067,0.6937836319201903,-0.005441346407295379,-0.06584460720157813,0.7897642572816066,0.5082325516235834,0.957875693080939,0.9218720749735728,0.9036229994150629,0.8899907578799172,1.0,-0.21818951763367975,-0.3757307342543468,0.8890612954243241,-0.2408234187907248,-0.06638826948712055,,-0.06638826948712055,-0.06638826948712055,-0.06495185941353127,-0.0663883719304633,-0.07141049267438125,-0.04509785017898526
Fwd Packet Length Max,0.6215401786062669,0.6705872870741917,0.6826945831908463,0.687226109930272,0.60961132231379,1.0,0.8481495406757568,0.9179011052256685,0.6856574001610638,0.685658216955029,0.6630294912093508,0.6949153177391995,-0.12080997798413984,0.060760278517176705,0.0573718276033392,0.15575743718402862,0.0016895012932109624,0.597495786574971,0.0072762483499008495,-0.04780846791029536,0.11486558665126889,0.0016694366103644576,0.6994549698741769,0.5561916367715889,0.5609711837366584,0.6284898817769274,0.3012343446767255,0.07158541957813319,0.6235469513439639,0.6533831350213416,-0.10603283744793354,-0.10084673115298512,0.7702133900411856,0.8423239961901828,0.7821936755614713,0.5603024054948204,0.07158541957813319,-0.118495797032135,0.8456548095159984,0.8481495406757568,0.685658216955029,0.6705872870741917,0.687226109930272,0.6826945831908463,0.60961132231379,-0.43274271809510806,-0.6989065929995844,0.6850722828602812,-0.5561224877565879,0.2859686412364183,,0.2859686412364183,0.2859686412364183,0.1600399682350522,0.28596848611117015,0.2289426904038343,0.03946527162411335
Fwd Packet Length Mean,0.8648696025427122,0.5770963270917701,0.5935795800176243,0.6273827360058393,0.5082325516235834,0.8481495406757568,1.0,0.588963557609589,0.4799227989300276,0.5286862512528419,0.4207376875773276,0.5633158859431832,-0.1063552059280416,0.3137390797849022,0.4461137881647473,0.4931297274777339,0.07440451562513575,0.8526764116856378,0.26915110384215374,0.35167397472430373,0.47420322147499927,0.07437883113158408,0.6119941348921859,0.3003839918578239,0.28475189128322564,0.34667392171591394,0.1360927316377518,0.0856770760150068,0.5122756115904127,0.5476424590229583,-0.09334387783823431,-0.08879008308597612,0.5968154887777658,0.8751212578861214,0.5319629089396446,0.37827965645518447,0.0856770760150068,-0.10430810922340043,0.898394743572005,1.0,0.5286862512528419,0.5770963270917701,0.6273827360058393,0.5935795800176242,0.5082325516235833,-0.5044420616084043,-0.6165589864545231,0.6168521030460876,-0.7004178462366787,0.6801885922568036,,0.6801885922568036,0.6801885922568036,0.4335282830744143,0.6801884865992263,0.5792784085575875,0.16221240032337206
Fwd Packet Length Std,0.3465292294718478,0.6669978116345352,0.6888765861789079,0.6781238086069347,0.6209308683765998,0.9179011052256685,0.588963557609589,1.0,0.7167111332938204,0.7086724220607225,0.7074206638278201,0.6975333666122118,-0.10704776202589321,-0.16644227186808117,-0.29244186915648057,-0.171412926445058,-0.05964810644067685,0.31861415882736566,-0.21638504302918096,-0.3842286470587696,-0.21946546266654388,-0.05966021399658008,0.71731500422334,0.6567743179949032,0.6678779408803899,0.7244631650441443,0.3546481400122814,0.06539500353557355,0.6195710428583663,0.6541696771620831,-0.09395620671656403,-0.08934921718937412,0.7488748812123536,0.6836882020178767,0.8305106184863943,0.5891516575259093,0.06539500353557355,-0.10500614038273558,0.6658229404131051,0.5889635576095887,0.7086724220607225,0.6669978116345353,0.6781238086069347,0.6888765861789079,0.6209308683765998,-0.3026471689341992,-0.616394775837899,0.6745332365942142,-0.33854411827965153,-0.1058731495533071,,-0.1058731495533071,-0.1058731495533071,-0.10358242470514056,-0.10587331292553297,-0.11388237453691735,-0.07192010687157092
Bwd Packet Length Max,0.35723900291811567,0.6759090180410631,0.6707374511405139,0.6626572331637678,0.6919061289710472,0.6856574001610638,0.4799227989300276,0.7167111332938204,1.0,0.8397841141502382,0.8954327390900442,0.7819862939165334,-0.08045922953371257,-0.13426269812228459,-0.25611126013144087,-0.15060774621651365,-0.044842036140839425,0.3438285614979107,-0.17017272805181324,-0.31405177710173676,-0.1741636810396427,-0.04485498134253362,0.6822757882721663,0.35364944783171637,0.3656787906332903,0.46739139043124756,0.20235178123413045,0.008938836386914183,0.6337155311638223,0.6445440727840677,-0.07062167078268225,-0.06714685262064714,0.9838847239916648,0.7456069419114897,0.9415889557843116,0.9132180100927783,0.008938836386914183,-0.07894060317202194,0.7246634925450671,0.4799227989300276,0.8397841141502382,0.6759090180410631,0.6626572331637678,0.6707374511405139,0.6919061289710472,-0.1970650685325927,-0.4598553052359701,0.6605707108056786,-0.22529980919828888,-0.07959239578749332,,-0.07959239578749332,-0.07959239578749332,-0.07787029457935135,-0.07959251860604477,-0.08561350130420012,-0.054067472587264985
Bwd Packet Length Mean,0.49366185650259836,0.8788841331413992,0.851226610373153,0.8603521900451293,0.957875693080939,0.685658216955029,0.5286862512528419,0.7086724220607225,0.8397841141502382,1.0,0.6302034478325554,0.92288862328216,-0.07735021058564258,-0.1342580401207308,-0.2739335137427095,-0.1683044768754368,-0.04311351699478686,0.48866747938985156,-0.16588875830144692,-0.3136277774392939,-0.1725287623939714,-0.043125138417300424,0.8764454044304023,0.2726956509898361,0.22573695890767986,0.34928710281273695,0.06772791210888074,-0.0005591878712370009,0.8033175602076235,0.7991820198720515,-0.06789306297655988,-0.06455105621329135,0.8182646771360642,0.8648839297658071,0.9250027065636963,0.8462057169337569,-0.0005591878712370009,-0.07589728094541187,0.8319788763238861,0.5286862512528419,1.0,0.8788841331413992,0.8603521900451292,0.851226610373153,0.9578756930809392,-0.2367707738067682,-0.4371765659340571,0.8465925970110206,-0.26306361343543594,-0.07652394561817585,,-0.07652394561817585,-0.07652394561817585,-0.07486823494510209,-0.07652406370182048,-0.08231292516280396,-0.05198306058064724
